bikepoint_id,name,lat,lon,bikes_available,empty_docks,docks_total,install_date,locked,temporary,timestamp,data_source
BikePoints_125,"Borough High Street, The Borough",51.500694,-0.094524,4,16,21,1279192200000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_126,"Museum of London, Barbican",51.517821,-0.096496,0,51,52,1279193340000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_127,"Wood Street, Guildhall",51.517008,-0.093885,0,17,17,1279193520000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_128,"Emperor's Gate, South Kensington",51.495362,-0.185296,5,16,22,1279194060000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_129,"Golden Square, Soho",51.511897,-0.137043,1,14,18,1279198500000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_130,"Tower Gardens , Tower",51.509506,-0.075459,15,5,24,1279198800000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_131,"Eversholt Street , Camden Town",51.533005,-0.136792,6,10,16,1279199280000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_132,"Bethnal Green Road, Shoreditch",51.523648,-0.074754,27,8,38,1279199520000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_133,"Derry Street, Kensington",51.501364,-0.191462,1,13,18,1279200240000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_134,"Wapping High Street, Wapping",51.504904,-0.06797,12,8,20,1279200900000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_135,"Clerkenwell Green, Clerkenwell",51.52326,-0.104708,16,1,21,1279201080000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_136,"Queen Victoria Street, St. Paul's",51.511961,-0.097441,1,28,32,1279201200000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_138,"Green Street, Mayfair",51.512276,-0.157436,10,7,19,1279205220000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_139,"Lambeth Road, Vauxhall",51.494881,-0.117974,2,14,18,1279205460000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_140,"Finsbury Square , Moorgate",51.520962,-0.085634,6,24,33,1279205580000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_141,"Chapel Place, Marylebone",51.515308,-0.147203,2,26,29,1279210980000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_142,"West Cromwell Road, Earl's Court",51.493724,-0.198286,11,12,24,1279211220000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_143,"Pont Street, Knightsbridge",51.496886,-0.161203,6,13,24,1279211400000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_144,"Kennington Cross, Kennington",51.48894,-0.111435,38,9,47,1279211580000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_145,"Ilchester Place, Kensington",51.500743,-0.202759,1,22,24,1279212180000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_146,"Vauxhall Bridge , Pimlico",51.488365,-0.129361,10,24,35,1279212360000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_147,"Portugal Street, Holborn",51.514943,-0.116146,0,16,16,1279214760000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_148,"Tachbrook Street, Victoria",51.492111,-0.138364,7,4,16,,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_149,"Kennington Road Post Office, Oval",51.484788,-0.110683,4,11,18,1279215360000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_150,"Holy Trinity Brompton, Knightsbridge",51.497056,-0.168917,1,25,28,1279215540000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_151,"Chepstow Villas, Notting Hill",51.512136,-0.201554,6,18,26,1279215720000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_152,"Hampton Street, Walworth",51.49217,-0.101536,12,6,21,1279215900000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_153,"Bayswater Road, Hyde Park",51.511933,-0.174411,6,18,27,1279216080000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_154,"Waterloo Station 3, Waterloo",51.503791,-0.112824,8,19,35,,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_155,"Lexham Gardens, Kensington",51.495866,-0.191933,18,0,19,1279272660000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_156,"New Kent Road, The Borough",51.494436,-0.092921,14,17,33,1279273080000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_157,"Wright's Lane, Kensington",51.500397,-0.193068,3,29,37,1279273200000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_158,"Trebovir Road, Earl's Court",51.490853,-0.19617,2,13,18,1279273320000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_160,"Waterloo Place, St. James's",51.506633,-0.131773,6,11,20,1279274280000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_161,"Guildhouse Street, Victoria",51.492345,-0.141334,12,3,16,1279286940000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_162,"Southampton Place, Holborn",51.517606,-0.121328,1,17,20,1279287120000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_163,"Sloane Avenue, Knightsbridge",51.493184,-0.167894,1,24,27,1279287300000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
